unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"4E75C29D-6D12-8922-E063-4804A8C094D0","326000","2026-03-10","L23 0QH","S","N","F","","10","WILLEDSTAN AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4E75C29D-6D12-8922-E063-4804A8C094D0/current"
"50D10B84-37A4-B8D0-E063-4704A8C08D98","260000","2026-03-20","L23 0QQ","S","N","F","","122","STUART ROAD","CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/50D10B84-37A4-B8D0-E063-4704A8C08D98/current"
"4777E0AE-EC7A-5D59-E063-4804A8C09F8E","200000","2025-12-12","L23 0QX","F","N","L","FLAT 10","MYERS COURT, 81","MYERS ROAD EAST","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AE-EC7A-5D59-E063-4804A8C09F8E/current"
"4C1B673F-61D0-D8EA-E063-4704A8C0BF7D","330000","2026-01-22","L23 0RE","S","N","F","","23","ROTHESAY DRIVE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4C1B673F-61D0-D8EA-E063-4704A8C0BF7D/current"
"4C1B673F-5FE9-D8EA-E063-4704A8C0BF7D","330000","2026-02-03","L23 0RL","S","N","F","","55","COLLEGE ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4C1B673F-5FE9-D8EA-E063-4704A8C0BF7D/current"
"4E75C29E-2B43-8922-E063-4804A8C094D0","77000","2026-02-25","L23 0RW","F","N","L","FLAT 3","10","COLLEGE ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","B","http://landregistry.data.gov.uk/data/ppi/transaction/4E75C29E-2B43-8922-E063-4804A8C094D0/current"
"50D10B84-35C4-B8D0-E063-4704A8C08D98","375000","2026-04-22","L23 0RX","S","N","F","","193","LIVERPOOL ROAD","GREAT CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/50D10B84-35C4-B8D0-E063-4704A8C08D98/current"
"4E75C29D-6E3A-8922-E063-4804A8C094D0","260000","2026-02-20","L23 0SE","S","N","F","","19","BUTTERMERE GARDENS","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4E75C29D-6E3A-8922-E063-4804A8C094D0/current"
"4E75C29D-7163-8922-E063-4804A8C094D0","172500","2026-01-22","L23 0SS","F","N","L","FLAT 5","14","COLLEGE AVENUE","CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4E75C29D-7163-8922-E063-4804A8C094D0/current"
"50D10B84-34F9-B8D0-E063-4704A8C08D98","250000","2026-03-30","L23 0SX","T","N","F","","20","DERWENT ROAD","CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/50D10B84-34F9-B8D0-E063-4704A8C08D98/current"
"49E87C32-296E-591C-E063-4704A8C00C31","295000","2026-01-16","L23 0SX","S","N","F","","21","DERWENT ROAD","CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-296E-591C-E063-4704A8C00C31/current"
"49E87C32-2947-591C-E063-4704A8C00C31","224000","2026-01-05","L23 0SY","S","N","F","","21","ENFIELD AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-2947-591C-E063-4704A8C00C31/current"
"4E75C29D-6E94-8922-E063-4804A8C094D0","265000","2026-01-30","L23 0SY","S","N","F","","51","ENFIELD AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4E75C29D-6E94-8922-E063-4804A8C094D0/current"
"4C1B673F-609C-D8EA-E063-4704A8C0BF7D","250000","2026-01-29","L23 0TB","S","N","F","","5","RYDAL AVENUE","CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4C1B673F-609C-D8EA-E063-4704A8C0BF7D/current"
"50D10B84-351B-B8D0-E063-4704A8C08D98","228000","2026-03-13","L23 0TG","T","N","F","","5","SEAFIELD AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/50D10B84-351B-B8D0-E063-4704A8C08D98/current"
"50D10B84-34B7-B8D0-E063-4704A8C08D98","325000","2026-03-20","L23 0TQ","S","N","F","","40","SEAFIELD AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/50D10B84-34B7-B8D0-E063-4704A8C08D98/current"
"4E75C29D-7239-8922-E063-4804A8C094D0","280000","2026-02-13","L23 0TY","S","N","F","","56","ENDBUTT LANE","GREAT CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4E75C29D-7239-8922-E063-4804A8C094D0/current"
"4E75C29D-6D84-8922-E063-4804A8C094D0","270000","2026-03-13","L23 0UE","S","N","F","","37","MOORGATE AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4E75C29D-6D84-8922-E063-4804A8C094D0/current"
"4C1B673F-6320-D8EA-E063-4704A8C0BF7D","255000","2026-01-30","L23 0UQ","S","N","F","","58","ROSEDALE AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4C1B673F-6320-D8EA-E063-4704A8C0BF7D/current"
"4E75C29D-7154-8922-E063-4804A8C094D0","310000","2026-02-06","L23 1AF","D","N","F","","16","THORN TREE DRIVE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4E75C29D-7154-8922-E063-4804A8C094D0/current"
"49E87C32-2C73-591C-E063-4704A8C00C31","271000","2025-12-11","L23 1TA","S","N","F","","25","HARTDALE ROAD","THORNTON","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-2C73-591C-E063-4704A8C00C31/current"
"4777E0AE-EAFB-5D59-E063-4804A8C09F8E","224000","2025-12-11","L23 1TB","S","N","F","","5","WATER STREET","THORNTON","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AE-EAFB-5D59-E063-4804A8C09F8E/current"
"50D10B84-35BF-B8D0-E063-4704A8C08D98","255000","2026-03-13","L23 1TH","S","N","F","","19","HALIFAX CRESCENT","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/50D10B84-35BF-B8D0-E063-4704A8C08D98/current"
"4777E0AF-9856-5D59-E063-4804A8C09F8E","132000","2025-12-15","L23 1TJ","T","N","F","","14","GREEN LANE","CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","B","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-9856-5D59-E063-4804A8C09F8E/current"
"4C1B673F-621F-D8EA-E063-4704A8C0BF7D","185000","2026-02-16","L23 1UP","T","N","L","","51","WESTBOURNE AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4C1B673F-621F-D8EA-E063-4704A8C0BF7D/current"
