unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"1EAE3DF6-C0FB-9EB1-E063-4704A8C09D02","236000","2024-06-28","L23 0QQ","S","N","F","","138","STUART ROAD","CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-C0FB-9EB1-E063-4704A8C09D02/current"
"1C3E72FF-0CEE-F410-E063-4804A8C0DFA6","231000","2024-05-17","L23 0QQ","S","N","F","","138","STUART ROAD","CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","B","http://landregistry.data.gov.uk/data/ppi/transaction/1C3E72FF-0CEE-F410-E063-4804A8C0DFA6/current"
"1C3E72FE-6165-F410-E063-4804A8C0DFA6","290000","2024-05-17","L23 0QS","S","N","F","","9","MYERS ROAD EAST","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1C3E72FE-6165-F410-E063-4804A8C0DFA6/current"
"2131FCF6-3FC6-86E8-E063-4804A8C0372B","290000","2024-04-18","L23 0QS","S","N","F","","21","MYERS ROAD EAST","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF6-3FC6-86E8-E063-4804A8C0372B/current"
"1EAE3DF6-BDA4-9EB1-E063-4704A8C09D02","199500","2024-06-26","L23 0QZ","S","N","F","","58","MYERS ROAD EAST","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-BDA4-9EB1-E063-4704A8C09D02/current"
"2131FCF6-3E15-86E8-E063-4804A8C0372B","275500","2024-07-29","L23 0RD","S","N","F","","8","WHITHAM AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF6-3E15-86E8-E063-4804A8C0372B/current"
"1EAE3DF6-BDB5-9EB1-E063-4704A8C09D02","325000","2024-07-10","L23 0RD","S","N","F","","18","WHITHAM AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-BDB5-9EB1-E063-4704A8C09D02/current"
"1C3E72FE-5F5E-F410-E063-4804A8C0DFA6","261000","2024-05-17","L23 0RY","S","N","F","","15A","DORBETT DRIVE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1C3E72FE-5F5E-F410-E063-4804A8C0DFA6/current"
"1A0C5C63-7B7D-7CBE-E063-4804A8C06C96","253500","2024-04-29","L23 0SN","S","N","F","","23","NAZEBY AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1A0C5C63-7B7D-7CBE-E063-4804A8C06C96/current"
"1C3E72FE-64A6-F410-E063-4804A8C0DFA6","240000","2024-05-23","L23 0SX","S","N","F","","18","DERWENT ROAD","CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1C3E72FE-64A6-F410-E063-4804A8C0DFA6/current"
