unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"2131FCF6-3E15-86E8-E063-4804A8C0372B","275500","2024-07-29","L23 0RD","S","N","F","","8","WHITHAM AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF6-3E15-86E8-E063-4804A8C0372B/current"
"1EAE3DF6-BDB5-9EB1-E063-4704A8C09D02","325000","2024-07-10","L23 0RD","S","N","F","","18","WHITHAM AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1EAE3DF6-BDB5-9EB1-E063-4704A8C09D02/current"
"25E9DA81-1C7B-555E-E063-4704A8C066F2","335000","2024-09-11","L23 0RF","S","N","F","","18","ROTHESAY DRIVE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA81-1C7B-555E-E063-4704A8C066F2/current"
"237B17FE-34B6-22AC-E063-4804A8C0EA3A","254000","2024-08-08","L23 0RH","T","N","F","","8","KELVINSIDE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/237B17FE-34B6-22AC-E063-4804A8C0EA3A/current"
"25E9DA81-17FF-555E-E063-4704A8C066F2","399000","2024-10-16","L23 0SB","S","N","F","","14","GROSVENOR AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/25E9DA81-17FF-555E-E063-4704A8C066F2/current"
"2859C1AC-3173-52B4-E063-4804A8C05948","328000","2024-07-17","L23 0SY","S","N","F","","5","ENFIELD AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AC-3173-52B4-E063-4804A8C05948/current"
"237B17FE-DF94-22AC-E063-4804A8C0EA3A","315000","2024-08-23","L23 0TD","S","N","F","","51B","BROWNMOOR LANE","","LIVERPOOL","SEFTON","MERSEYSIDE","B","http://landregistry.data.gov.uk/data/ppi/transaction/237B17FE-DF94-22AC-E063-4804A8C0EA3A/current"
"2131FCF6-3E67-86E8-E063-4804A8C0372B","295000","2024-07-05","L23 0TG","S","N","F","","75","SEAFIELD AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2131FCF6-3E67-86E8-E063-4804A8C0372B/current"
"2859C1AC-FAEF-52B4-E063-4804A8C05948","180000","2024-07-12","L23 0TH","S","N","F","","12","WYLVA AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","B","http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AC-FAEF-52B4-E063-4804A8C05948/current"
"2859C1AC-2F3F-52B4-E063-4804A8C05948","388000","2024-11-01","L23 0UF","S","N","F","","22","MOORGATE AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2859C1AC-2F3F-52B4-E063-4804A8C05948/current"
