unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"4E75C29D-6D12-8922-E063-4804A8C094D0","326000","2026-03-10","L23 0QH","S","N","F","","10","WILLEDSTAN AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4E75C29D-6D12-8922-E063-4804A8C094D0/current"
"4777E0AE-EC7A-5D59-E063-4804A8C09F8E","200000","2025-12-12","L23 0QX","F","N","L","FLAT 10","MYERS COURT, 81","MYERS ROAD EAST","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AE-EC7A-5D59-E063-4804A8C09F8E/current"
"44F406B6-A4DF-1095-E063-4704A8C048D4","260000","2025-11-07","L23 0QZ","S","N","F","","54","MYERS ROAD EAST","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/44F406B6-A4DF-1095-E063-4704A8C048D4/current"
"4C1B673F-61D0-D8EA-E063-4704A8C0BF7D","330000","2026-01-22","L23 0RE","S","N","F","","23","ROTHESAY DRIVE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4C1B673F-61D0-D8EA-E063-4704A8C0BF7D/current"
"4C1B673F-5FE9-D8EA-E063-4704A8C0BF7D","330000","2026-02-03","L23 0RL","S","N","F","","55","COLLEGE ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4C1B673F-5FE9-D8EA-E063-4704A8C0BF7D/current"
"4777E0AE-EB87-5D59-E063-4804A8C09F8E","375000","2025-11-25","L23 0RQ","D","N","F","","42","CAITHNESS DRIVE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AE-EB87-5D59-E063-4804A8C09F8E/current"
"4E75C29E-2B43-8922-E063-4804A8C094D0","77000","2026-02-25","L23 0RW","F","N","L","FLAT 3","10","COLLEGE ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","B","http://landregistry.data.gov.uk/data/ppi/transaction/4E75C29E-2B43-8922-E063-4804A8C094D0/current"
"4E75C29D-6E3A-8922-E063-4804A8C094D0","260000","2026-02-20","L23 0SE","S","N","F","","19","BUTTERMERE GARDENS","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4E75C29D-6E3A-8922-E063-4804A8C094D0/current"
"44F406B6-A50E-1095-E063-4704A8C048D4","221000","2025-11-06","L23 0SF","T","N","F","","6","BUTTERMERE GARDENS","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/44F406B6-A50E-1095-E063-4704A8C048D4/current"
"4E75C29D-7163-8922-E063-4804A8C094D0","172500","2026-01-22","L23 0SS","F","N","L","FLAT 5","14","COLLEGE AVENUE","CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4E75C29D-7163-8922-E063-4804A8C094D0/current"
"49E87C32-296E-591C-E063-4704A8C00C31","295000","2026-01-16","L23 0SX","S","N","F","","21","DERWENT ROAD","CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-296E-591C-E063-4704A8C00C31/current"
