unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"31C68072-FB6F-FEE3-E063-4804A8C04F37","165000","2025-01-31","L23 0QG","S","N","F","","78","STUART ROAD","CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","B","http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-FB6F-FEE3-E063-4804A8C04F37/current"
"34222872-885B-4D2B-E063-4704A8C07853","300000","2025-03-27","L23 0QU","S","N","F","","31","MYERS ROAD EAST","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-885B-4D2B-E063-4704A8C07853/current"
"34222872-8810-4D2B-E063-4704A8C07853","230000","2025-03-27","L23 0QX","F","N","L","2","MYERS LODGE","MYERS ROAD EAST","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-8810-4D2B-E063-4704A8C07853/current"
"2D4D7609-367D-BDF9-E063-4804A8C0672F","310000","2024-12-11","L23 0QZ","S","N","F","","42","MYERS ROAD EAST","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2D4D7609-367D-BDF9-E063-4804A8C0672F/current"
"2F7F2B43-38F3-E08F-E063-4804A8C05A49","232000","2025-02-03","L23 0QZ","S","N","F","","56","MYERS ROAD EAST","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B43-38F3-E08F-E063-4804A8C05A49/current"
"31C68072-53EB-FEE3-E063-4804A8C04F37","285000","2025-03-06","L23 0RF","S","N","F","","20","ROTHESAY DRIVE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-53EB-FEE3-E063-4804A8C04F37/current"
"34222872-8959-4D2B-E063-4704A8C07853","355000","2025-03-28","L23 0RP","S","N","F","","46","COLLEGE ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-8959-4D2B-E063-4704A8C07853/current"
"34222872-8977-4D2B-E063-4704A8C07853","255000","2025-04-04","L23 0RQ","S","N","F","","2","CAITHNESS DRIVE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-8977-4D2B-E063-4704A8C07853/current"
"2F7F2B43-3BE7-E08F-E063-4804A8C05A49","375000","2025-02-06","L23 0SA","S","N","F","","11","MORNINGTON AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B43-3BE7-E08F-E063-4804A8C05A49/current"
"2ACACE8D-0A10-295E-E063-4804A8C0B0EB","180000","2024-12-13","L23 0SF","T","N","F","","12","BUTTERMERE GARDENS","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8D-0A10-295E-E063-4804A8C0B0EB/current"
"31C68072-5291-FEE3-E063-4804A8C04F37","190000","2025-03-14","L23 0SF","T","N","F","","24","BUTTERMERE GARDENS","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-5291-FEE3-E063-4804A8C04F37/current"
"34222872-8A12-4D2B-E063-4704A8C07853","400000","2025-03-31","L23 0SL","S","N","F","","30","MARLDON AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-8A12-4D2B-E063-4704A8C07853/current"
"34222872-88A1-4D2B-E063-4704A8C07853","215000","2025-04-04","L23 0SN","S","N","F","","21","NAZEBY AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-88A1-4D2B-E063-4704A8C07853/current"
"2D4D7609-369C-BDF9-E063-4804A8C0672F","265000","2025-01-03","L23 0SN","S","N","F","","35","NAZEBY AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2D4D7609-369C-BDF9-E063-4804A8C0672F/current"
"2D4D7609-37C9-BDF9-E063-4804A8C0672F","200000","2024-12-12","L23 0SS","F","N","L","FLAT 2","14","COLLEGE AVENUE","CROSBY","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2D4D7609-37C9-BDF9-E063-4804A8C0672F/current"
"2ACACE8D-0B2B-295E-E063-4804A8C0B0EB","235000","2024-12-11","L23 0SW","S","N","F","","42","NAZEBY AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2ACACE8D-0B2B-295E-E063-4804A8C0B0EB/current"
"2F7F2B43-39CD-E08F-E063-4804A8C05A49","400000","2025-02-14","L23 0TD","D","N","F","","3","BROWNMOOR LANE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B43-39CD-E08F-E063-4804A8C05A49/current"
"34222872-86A2-4D2B-E063-4704A8C07853","241000","2025-03-28","L23 0TG","T","N","F","","15","SEAFIELD AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-86A2-4D2B-E063-4704A8C07853/current"
"34222872-8865-4D2B-E063-4704A8C07853","211500","2025-02-21","L23 0TH","S","N","F","","34","WYLVA AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-8865-4D2B-E063-4704A8C07853/current"
