unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"34222872-891F-4D2B-E063-4704A8C07853","240000","2025-03-28","L22 0LN","T","N","F","","53","CORONA ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-891F-4D2B-E063-4704A8C07853/current"
"31C68072-4FF0-FEE3-E063-4804A8C04F37","215000","2025-02-27","L22 0NN","T","N","F","","7","ARGO ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-4FF0-FEE3-E063-4804A8C04F37/current"
"31C68072-5209-FEE3-E063-4804A8C04F37","220000","2025-02-14","L22 0NN","T","N","F","","13","ARGO ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-5209-FEE3-E063-4804A8C04F37/current"
"36A61A94-C386-DEF2-E063-4704A8C046AE","230000","2025-04-14","L22 0NP","T","N","F","","20","WILLOUGHBY ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/36A61A94-C386-DEF2-E063-4704A8C046AE/current"
"2F7F2B43-3B54-E08F-E063-4804A8C05A49","225000","2025-02-14","L22 0NS","S","N","F","","28","NORMA ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2F7F2B43-3B54-E08F-E063-4804A8C05A49/current"
"34222872-8818-4D2B-E063-4704A8C07853","246500","2025-03-31","L22 0NS","S","N","F","","29","NORMA ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-8818-4D2B-E063-4704A8C07853/current"
"31C68072-5262-FEE3-E063-4804A8C04F37","252000","2025-02-14","L22 0NT","T","N","F","","31","LYRA ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-5262-FEE3-E063-4804A8C04F37/current"
"36A61A94-C50E-DEF2-E063-4704A8C046AE","93000","2025-03-31","L22 0NU","F","N","L","FLAT 3","51","HANDFIELD ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/36A61A94-C50E-DEF2-E063-4704A8C046AE/current"
"31C68072-556C-FEE3-E063-4804A8C04F37","178000","2025-02-06","L22 0NW","T","N","F","","30","ARGO ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-556C-FEE3-E063-4804A8C04F37/current"
"31C68072-52BF-FEE3-E063-4804A8C04F37","100000","2025-02-21","L22 1RR","F","N","L","FLAT 6","MARINA HOUSE, 13","CAMBRIDGE ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/31C68072-52BF-FEE3-E063-4804A8C04F37/current"
"34222872-870A-4D2B-E063-4704A8C07853","285000","2025-03-27","L22 1RW","S","N","F","","7","SANDRINGHAM ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-870A-4D2B-E063-4704A8C07853/current"
"34222872-8B92-4D2B-E063-4704A8C07853","265000","2025-03-14","L22 1RW","S","N","F","","14","SANDRINGHAM ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34222872-8B92-4D2B-E063-4704A8C07853/current"
