unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"36A61A94-C386-DEF2-E063-4704A8C046AE","230000","2025-04-14","L22 0NP","T","N","F","","20","WILLOUGHBY ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/36A61A94-C386-DEF2-E063-4704A8C046AE/current"
"3DCCB7CA-2792-5B9D-E063-4704A8C0331E","162000","2025-07-16","L22 0NW","T","N","F","","50","ARGO ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-2792-5B9D-E063-4704A8C0331E/current"
"3DCCB7CA-2C23-5B9D-E063-4704A8C0331E","385000","2025-07-21","L22 1RT","T","N","F","","26","MARLBOROUGH ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-2C23-5B9D-E063-4704A8C0331E/current"
"3DCCB7CA-2880-5B9D-E063-4704A8C0331E","332500","2025-08-26","L22 1RW","D","N","F","","10","SANDRINGHAM ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-2880-5B9D-E063-4704A8C0331E/current"
"3DCCB7CA-2784-5B9D-E063-4704A8C0331E","328000","2025-08-04","L22 2AF","S","N","F","","3","LAUREL GROVE","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-2784-5B9D-E063-4704A8C0331E/current"
"36A61A94-C58E-DEF2-E063-4704A8C046AE","210000","2025-05-01","L22 2AU","S","N","F","","5","LICHFIELD AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/36A61A94-C58E-DEF2-E063-4704A8C046AE/current"
"38EDC0C3-1E26-0F63-E063-4704A8C00424","285000","2025-06-20","L22 2AW","S","N","F","","26","BROOKE ROAD EAST","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-1E26-0F63-E063-4704A8C00424/current"
"3DCCB7CA-29AD-5B9D-E063-4704A8C0331E","257500","2025-08-15","L22 2BH","S","N","F","","32","ROSEBERY AVENUE","BRIGHTON LE SANDS","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-29AD-5B9D-E063-4704A8C0331E/current"
"3DCCB7CA-2A64-5B9D-E063-4704A8C0331E","305000","2025-07-24","L22 2BJ","S","N","F","","5","SOMERSET ROAD","BRIGHTON LE SANDS","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-2A64-5B9D-E063-4704A8C0331E/current"
"3B5CE841-FA85-EE3A-E063-4804A8C0D6F1","175000","2025-07-08","L22 3XA","F","N","L","FLAT 3","BRAUNSTON LEA, 5","BRAMHALL ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE841-FA85-EE3A-E063-4804A8C0D6F1/current"
"36A61A94-C749-DEF2-E063-4704A8C046AE","226000","2025-04-17","L22 3XZ","S","N","F","","46","BROOKLANDS AVENUE","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/36A61A94-C749-DEF2-E063-4704A8C046AE/current"
"3B5CE841-FA7F-EE3A-E063-4804A8C0D6F1","310000","2025-06-27","L22 4RA","S","N","F","","17","QUEENSWAY","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE841-FA7F-EE3A-E063-4804A8C0D6F1/current"
"38EDC0C3-1D44-0F63-E063-4704A8C00424","216000","2025-06-02","L22 4RE","T","N","F","","87","MILTON ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-1D44-0F63-E063-4704A8C00424/current"
"36A61A94-C882-DEF2-E063-4704A8C046AE","340000","2025-04-30","L22 4RG","S","N","F","","51","KINGSWAY","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/36A61A94-C882-DEF2-E063-4704A8C046AE/current"
"3DCCB7CA-28AA-5B9D-E063-4704A8C0331E","280000","2025-08-08","L22 4RH","S","N","F","","28","PARKFIELD ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-28AA-5B9D-E063-4704A8C0331E/current"
"38EDC0C3-1B6C-0F63-E063-4704A8C00424","187000","2025-06-10","L22 4RL","T","N","F","","24","KINGSWOOD AVENUE","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-1B6C-0F63-E063-4704A8C00424/current"
"38EDC0C3-1C76-0F63-E063-4704A8C00424","100000","2025-05-29","L22 5NL","F","N","L","FLAT 1","20","WALMER ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-1C76-0F63-E063-4704A8C00424/current"
"3DCCB7CA-2951-5B9D-E063-4704A8C0331E","240000","2025-07-31","L22 6QB","T","N","F","","20","MERSEY VIEW","BRIGHTON LE SANDS","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-2951-5B9D-E063-4704A8C0331E/current"
"38EDC0C3-1BC9-0F63-E063-4704A8C00424","235000","2025-05-30","L22 6QN","T","N","F","","12","WARRENHOUSE ROAD","BRIGHTON LE SANDS","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-1BC9-0F63-E063-4704A8C00424/current"
"3DCCB7CA-2744-5B9D-E063-4704A8C0331E","180000","2025-07-21","L22 6QP","S","N","F","","74","WARRENHOUSE ROAD","BRIGHTON LE SANDS","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-2744-5B9D-E063-4704A8C0331E/current"
"36A61A94-C49E-DEF2-E063-4704A8C046AE","325000","2025-04-23","L22 6QZ","T","N","F","","34","LEOPOLD ROAD","BRIGHTON LE SANDS","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/36A61A94-C49E-DEF2-E063-4704A8C046AE/current"
"38EDC0C3-204B-0F63-E063-4704A8C00424","316000","2025-05-13","L22 6RE","T","N","F","","27","HEATHFIELD ROAD","BRIGHTON LE SANDS","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-204B-0F63-E063-4704A8C00424/current"
"3B5CE841-FD54-EE3A-E063-4804A8C0D6F1","295000","2025-06-23","L22 8QB","S","N","F","","26","BLUCHER STREET","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE841-FD54-EE3A-E063-4804A8C0D6F1/current"
"38EDC0C3-1C98-0F63-E063-4704A8C00424","255000","2025-05-29","L22 8QE","T","N","F","","1A","OXFORD ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-1C98-0F63-E063-4704A8C00424/current"
"38EDC0C3-1BD7-0F63-E063-4704A8C00424","280000","2025-05-30","L22 8QH","T","N","F","","18","PICTON ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-1BD7-0F63-E063-4704A8C00424/current"
"3B5CE842-9D24-EE3A-E063-4804A8C0D6F1","300750","2025-07-14","L22 8QL","S","N","F","","19","WELLINGTON STREET","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","B","http://landregistry.data.gov.uk/data/ppi/transaction/3B5CE842-9D24-EE3A-E063-4804A8C0D6F1/current"
"3DCCB7CA-C394-5B9D-E063-4704A8C0331E","130000","2025-08-15","L22 8QU","T","N","F","","6","DUKE STREET","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","B","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-C394-5B9D-E063-4704A8C0331E/current"
"38EDC0C3-1B82-0F63-E063-4704A8C00424","140440","2025-05-30","L22 9QQ","F","N","F","","80A","ST JOHNS ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-1B82-0F63-E063-4704A8C00424/current"
"3DCCB7CA-2849-5B9D-E063-4704A8C0331E","300000","2025-07-11","L22 9QT","T","N","F","","45","ASHDALE ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3DCCB7CA-2849-5B9D-E063-4704A8C0331E/current"
"38EDC0C3-1DCC-0F63-E063-4704A8C00424","222500","2025-06-20","L22 9QZ","T","N","F","","44","SOMERVILLE ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/38EDC0C3-1DCC-0F63-E063-4704A8C00424/current"
