unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"4777E0AF-98F8-5D59-E063-4804A8C09F8E","68000","2025-11-12","L22 0AD","F","N","L","APARTMENT 11","16","CROSBY ROAD NORTH","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","B","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AF-98F8-5D59-E063-4804A8C09F8E/current"
"42C129E4-D268-60A9-E063-4804A8C0C25D","195000","2025-09-03","L22 0LN","T","N","F","","51","CORONA ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/42C129E4-D268-60A9-E063-4804A8C0C25D/current"
"49E87C32-29FE-591C-E063-4704A8C00C31","224500","2026-01-15","L22 0LW","T","N","F","","16","CORONA ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-29FE-591C-E063-4704A8C00C31/current"
"42C129E4-D45F-60A9-E063-4804A8C0C25D","221500","2025-09-30","L22 0NJ","T","N","F","","14","NEVILLE ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/42C129E4-D45F-60A9-E063-4804A8C0C25D/current"
"4777E0AE-EC98-5D59-E063-4804A8C09F8E","187000","2025-12-10","L22 0NL","T","N","F","","18","CURZON ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4777E0AE-EC98-5D59-E063-4804A8C09F8E/current"
"42C129E4-D280-60A9-E063-4804A8C0C25D","220000","2025-09-24","L22 0NN","T","N","F","","11","ARGO ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/42C129E4-D280-60A9-E063-4804A8C0C25D/current"
"44F406B6-A4EA-1095-E063-4704A8C048D4","278000","2025-11-11","L22 0NT","T","N","F","","42","LYRA ROAD","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/44F406B6-A4EA-1095-E063-4704A8C048D4/current"
"42C129E4-D788-60A9-E063-4804A8C0C25D","150000","2025-10-03","L22 1RL","F","N","L","","FLAT 1, 2","MELROSE ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/42C129E4-D788-60A9-E063-4804A8C0C25D/current"
"44F406B6-A5DA-1095-E063-4704A8C048D4","150000","2025-10-14","L22 1RR","F","N","L","FLAT 3","9","CAMBRIDGE ROAD","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/44F406B6-A5DA-1095-E063-4704A8C048D4/current"
"49E87C32-E114-591C-E063-4704A8C00C31","220000","2026-01-06","L22 2AE","S","N","F","","15","CEDAR GROVE","WATERLOO","LIVERPOOL","SEFTON","MERSEYSIDE","B","http://landregistry.data.gov.uk/data/ppi/transaction/49E87C32-E114-591C-E063-4704A8C00C31/current"
"44F406B7-41D3-1095-E063-4704A8C048D4","212500","2025-10-31","L22 2AL","T","N","F","","11","ALDER GROVE","","LIVERPOOL","SEFTON","MERSEYSIDE","B","http://landregistry.data.gov.uk/data/ppi/transaction/44F406B7-41D3-1095-E063-4704A8C048D4/current"
"402A3A66-1C0F-A7DF-E063-4804A8C0B80D","270000","2025-09-15","L22 2AN","S","N","F","","55","BROOKE ROAD EAST","","LIVERPOOL","SEFTON","MERSEYSIDE","A","http://landregistry.data.gov.uk/data/ppi/transaction/402A3A66-1C0F-A7DF-E063-4804A8C0B80D/current"
